time,epochTime,throughput(kbyts/sec),numofrequests(hits/sec),peaks
30/Apr/1998:22:03:24,893966604,134.18,18,
30/Apr/1998:22:03:25,893966605,16.435,13,
30/Apr/1998:22:03:26,893966606,76.892,18,
30/Apr/1998:22:03:27,893966607,90.274,13,
30/Apr/1998:22:03:28,893966608,62.614,22,
30/Apr/1998:22:03:29,893966609,132.203,18,
30/Apr/1998:22:03:30,893966610,30.662,13,
30/Apr/1998:22:03:31,893966611,70.661,19,
30/Apr/1998:22:03:32,893966612,63.761,32,
30/Apr/1998:22:03:33,893966613,82.151,16,
30/Apr/1998:22:03:34,893966614,203.556,21,
30/Apr/1998:22:03:35,893966615,70.634,22,
30/Apr/1998:22:03:36,893966616,108.789,11,
30/Apr/1998:22:03:37,893966617,2.101,10,
30/Apr/1998:22:03:38,893966618,52.51,8,
30/Apr/1998:22:03:39,893966619,34.439,12,
30/Apr/1998:22:03:40,893966620,48.317,22,
30/Apr/1998:22:03:41,893966621,4.651,6,
30/Apr/1998:22:03:42,893966622,15.085,5,
30/Apr/1998:22:03:43,893966623,45.386,7,
30/Apr/1998:22:03:44,893966624,37.7,6,
30/Apr/1998:22:03:45,893966625,1427.336,18,
30/Apr/1998:22:03:46,893966626,96.341,22,
30/Apr/1998:22:03:47,893966627,16.655,8,
30/Apr/1998:22:03:48,893966628,101.117,21,
30/Apr/1998:22:03:49,893966629,35.271,15,
30/Apr/1998:22:03:50,893966630,88.765,20,
30/Apr/1998:22:03:51,893966631,98.679,33,
30/Apr/1998:22:03:52,893966632,61.642,16,
30/Apr/1998:22:03:53,893966633,33.973,27,
30/Apr/1998:22:03:54,893966634,83.539,25,
30/Apr/1998:22:03:55,893966635,155.157,36,
30/Apr/1998:22:03:56,893966636,37.585,12,
30/Apr/1998:22:03:57,893966637,75.28,24,
30/Apr/1998:22:03:58,893966638,92.582,12,
30/Apr/1998:22:03:59,893966639,7.542,9,
30/Apr/1998:22:04:00,893966640,69.646,23,
30/Apr/1998:22:04:01,893966641,20.233,15,
30/Apr/1998:22:04:02,893966642,13.128,9,
30/Apr/1998:22:04:03,893966643,56.01,22,
30/Apr/1998:22:04:04,893966644,2085.404,15,
30/Apr/1998:22:04:05,893966645,9.905,21,
30/Apr/1998:22:04:06,893966646,73.443,21,
30/Apr/1998:22:04:07,893966647,58.131,18,
30/Apr/1998:22:04:08,893966648,31.53,15,
30/Apr/1998:22:04:09,893966649,7.461,11,
30/Apr/1998:22:04:10,893966650,97.267,26,
30/Apr/1998:22:04:11,893966651,79.363,9,
30/Apr/1998:22:04:12,893966652,61.853,6,
30/Apr/1998:22:04:13,893966653,6.98,8,
30/Apr/1998:22:04:14,893966654,12.494,6,
30/Apr/1998:22:04:15,893966655,140.961,16,
30/Apr/1998:22:04:16,893966656,38.157,12,
30/Apr/1998:22:04:17,893966657,49.089,10,
30/Apr/1998:22:04:18,893966658,67.639,14,
30/Apr/1998:22:04:19,893966659,38.565,15,
30/Apr/1998:22:04:20,893966660,105.365,24,
30/Apr/1998:22:04:21,893966661,141.988,19,
30/Apr/1998:22:04:22,893966662,40.638,14,
30/Apr/1998:22:04:23,893966663,24.913,14,
30/Apr/1998:22:04:24,893966664,45.844,10,
30/Apr/1998:22:04:25,893966665,35.314,21,
30/Apr/1998:22:04:26,893966666,65.091,14,
30/Apr/1998:22:04:27,893966667,10.015,12,
30/Apr/1998:22:04:28,893966668,39.299,13,
30/Apr/1998:22:04:29,893966669,54.06,10,
30/Apr/1998:22:04:30,893966670,37.949,21,
30/Apr/1998:22:04:31,893966671,208.093,24,
30/Apr/1998:22:04:32,893966672,55.027,23,
30/Apr/1998:22:04:33,893966673,33.442,17,
30/Apr/1998:22:04:34,893966674,48.72,14,
30/Apr/1998:22:04:35,893966675,86.526,20,
30/Apr/1998:22:04:36,893966676,74.858,12,
30/Apr/1998:22:04:37,893966677,3.378,7,
30/Apr/1998:22:04:38,893966678,46.019,19,
30/Apr/1998:22:04:39,893966679,46.172,17,
30/Apr/1998:22:04:40,893966680,191.184,31,
30/Apr/1998:22:04:41,893966681,42.289,15,
30/Apr/1998:22:04:42,893966682,115.783,21,
30/Apr/1998:22:04:43,893966683,16.67,11,
30/Apr/1998:22:04:44,893966684,24.463,10,
30/Apr/1998:22:04:45,893966685,25.262,30,
30/Apr/1998:22:04:46,893966686,164.443,20,
30/Apr/1998:22:04:47,893966687,10.526,17,
30/Apr/1998:22:04:48,893966688,66.548,14,
30/Apr/1998:22:04:49,893966689,63.95,18,
30/Apr/1998:22:04:50,893966690,20.944,21,
30/Apr/1998:22:04:51,893966691,81.157,17,
30/Apr/1998:22:04:52,893966692,81.417,25,
30/Apr/1998:22:04:53,893966693,50.828,18,
30/Apr/1998:22:04:54,893966694,29.695,16,
30/Apr/1998:22:04:55,893966695,126.548,33,
30/Apr/1998:22:04:56,893966696,50.007,26,
30/Apr/1998:22:04:57,893966697,111.901,31,
30/Apr/1998:22:04:58,893966698,25.748,18,
30/Apr/1998:22:04:59,893966699,190.931,25,
30/Apr/1998:22:05:00,893966700,55.937,28,
30/Apr/1998:22:05:01,893966701,100.718,16,
30/Apr/1998:22:05:02,893966702,70.943,17,
30/Apr/1998:22:05:03,893966703,50.658,19,
30/Apr/1998:22:05:04,893966704,34.974,19,
30/Apr/1998:22:05:05,893966705,54.384,22,
30/Apr/1998:22:05:06,893966706,44.403,9,
30/Apr/1998:22:05:07,893966707,28.026,14,
30/Apr/1998:22:05:08,893966708,44.196,15,
30/Apr/1998:22:05:09,893966709,17.078,8,
30/Apr/1998:22:05:10,893966710,55.526,12,
30/Apr/1998:22:05:11,893966711,15.028,19,
30/Apr/1998:22:05:12,893966712,117.181,13,
30/Apr/1998:22:05:13,893966713,77.678,10,
30/Apr/1998:22:05:14,893966714,1.985,4,
30/Apr/1998:22:05:15,893966715,27.183,17,
30/Apr/1998:22:05:16,893966716,66.67,12,
30/Apr/1998:22:05:17,893966717,12.093,11,
30/Apr/1998:22:05:18,893966718,79.217,17,
30/Apr/1998:22:05:19,893966719,31.485,13,
30/Apr/1998:22:05:20,893966720,28.404,24,
30/Apr/1998:22:05:21,893966721,94.233,13,
30/Apr/1998:22:05:22,893966722,29.66,19,
30/Apr/1998:22:05:23,893966723,8.999,13,
30/Apr/1998:22:05:24,893966724,152.8,23,
30/Apr/1998:22:05:25,893966725,23.635,18,
30/Apr/1998:22:05:26,893966726,15.848,11,
30/Apr/1998:22:05:27,893966727,62.776,26,
30/Apr/1998:22:05:28,893966728,13.669,18,
30/Apr/1998:22:05:29,893966729,31.33,22,
30/Apr/1998:22:05:30,893966730,27.806,36,
30/Apr/1998:22:05:31,893966731,72.979,17,
30/Apr/1998:22:05:32,893966732,38.459,22,
30/Apr/1998:22:05:33,893966733,88.802,15,
30/Apr/1998:22:05:34,893966734,87.573,20,
30/Apr/1998:22:05:35,893966735,162.433,40,
30/Apr/1998:22:05:36,893966736,63.317,39,
30/Apr/1998:22:05:37,893966737,17.314,24,
30/Apr/1998:22:05:38,893966738,111.022,23,
30/Apr/1998:22:05:39,893966739,15.743,14,
30/Apr/1998:22:05:40,893966740,34.783,19,
30/Apr/1998:22:05:41,893966741,59.159,14,
30/Apr/1998:22:05:42,893966742,69.499,24,
30/Apr/1998:22:05:43,893966743,7.346,15,
30/Apr/1998:22:05:44,893966744,11.265,14,
30/Apr/1998:22:05:45,893966745,105.658,25,
30/Apr/1998:22:05:46,893966746,112.28,24,
30/Apr/1998:22:05:47,893966747,44.009,22,
30/Apr/1998:22:05:48,893966748,63.106,14,
30/Apr/1998:22:05:49,893966749,92.637,24,
30/Apr/1998:22:05:50,893966750,42.25,16,
30/Apr/1998:22:05:51,893966751,70.799,16,
30/Apr/1998:22:05:52,893966752,40.75,13,
30/Apr/1998:22:05:53,893966753,49.762,6,
30/Apr/1998:22:05:54,893966754,85.79,17,
30/Apr/1998:22:05:55,893966755,7.368,15,
30/Apr/1998:22:05:56,893966756,48.264,12,
30/Apr/1998:22:05:57,893966757,117.15,18,
30/Apr/1998:22:05:58,893966758,62.748,9,
30/Apr/1998:22:05:59,893966759,10.874,7,
30/Apr/1998:22:06:00,893966760,12.596,17,
30/Apr/1998:22:06:01,893966761,57.327,18,
30/Apr/1998:22:06:02,893966762,59.601,12,
30/Apr/1998:22:06:03,893966763,4.806,12,
30/Apr/1998:22:06:04,893966764,22.694,13,
30/Apr/1998:22:06:05,893966765,28.525,16,
30/Apr/1998:22:06:06,893966766,26.242,11,
30/Apr/1998:22:06:07,893966767,33.443,19,
30/Apr/1998:22:06:08,893966768,130.169,14,
30/Apr/1998:22:06:09,893966769,8.376,6,
30/Apr/1998:22:06:10,893966770,2066.172,20,
30/Apr/1998:22:06:11,893966771,16.553,10,
30/Apr/1998:22:06:12,893966772,123.499,12,
30/Apr/1998:22:06:13,893966773,144.126,20,
30/Apr/1998:22:06:14,893966774,18.998,12,
30/Apr/1998:22:06:15,893966775,99.865,15,
30/Apr/1998:22:06:16,893966776,6.494,6,
30/Apr/1998:22:06:17,893966777,2103.497,24,
30/Apr/1998:22:06:18,893966778,4.557,12,
30/Apr/1998:22:06:19,893966779,16.134,11,
30/Apr/1998:22:06:20,893966780,31.205,13,
30/Apr/1998:22:06:21,893966781,16.371,7,
30/Apr/1998:22:06:22,893966782,48.856,12,
30/Apr/1998:22:06:23,893966783,29.635,10,
30/Apr/1998:22:06:24,893966784,2.897,6,
30/Apr/1998:22:06:25,893966785,10.157,11,
30/Apr/1998:22:06:26,893966786,9.65,13,
30/Apr/1998:22:06:27,893966787,4.969,12,
30/Apr/1998:22:06:28,893966788,10.301,17,
30/Apr/1998:22:06:29,893966789,10.554,24,
30/Apr/1998:22:06:30,893966790,1282.705,13,
30/Apr/1998:22:06:31,893966791,3.119,8,
30/Apr/1998:22:06:32,893966792,30.587,13,
30/Apr/1998:22:06:33,893966793,15.142,16,
30/Apr/1998:22:06:34,893966794,10.069,19,
30/Apr/1998:22:06:35,893966795,102.049,25,
30/Apr/1998:22:06:36,893966796,24.316,10,
30/Apr/1998:22:06:37,893966797,2.998,7,
30/Apr/1998:22:06:38,893966798,55.422,12,
30/Apr/1998:22:06:39,893966799,22.887,15,
30/Apr/1998:22:06:40,893966800,56.99,20,
30/Apr/1998:22:06:41,893966801,38.78,10,
30/Apr/1998:22:06:42,893966802,23.485,9,
30/Apr/1998:22:06:43,893966803,25.742,10,
30/Apr/1998:22:06:44,893966804,4.093,8,
30/Apr/1998:22:06:45,893966805,82.148,12,
30/Apr/1998:22:06:46,893966806,11.664,6,
30/Apr/1998:22:06:47,893966807,111.004,13,
30/Apr/1998:22:06:48,893966808,39.67,21,
30/Apr/1998:22:06:49,893966809,40.605,12,
30/Apr/1998:22:06:50,893966810,9.875,12,
30/Apr/1998:22:06:51,893966811,5.67,7,
30/Apr/1998:22:06:52,893966812,31.349,13,
30/Apr/1998:22:06:53,893966813,44.615,9,
30/Apr/1998:22:06:54,893966814,11.545,6,
30/Apr/1998:22:06:55,893966815,49.262,19,
30/Apr/1998:22:06:56,893966816,68.858,15,
30/Apr/1998:22:06:57,893966817,42.496,17,
30/Apr/1998:22:06:58,893966818,24.388,14,
